variant,label_set,split,scorer,auprc,precision@20,mcc,chains,residues,positive_rate,threshold,n_features,best_iteration,esm_components
esm256,union,test_group2,rel_sasa_assembly,0.1459,0.1256,0.1276,234.0,68297.0,0.06,0.6831,292,816,256
esm256,union,test_group2,protrusion,0.1075,0.0421,-0.0041,234.0,68297.0,0.06,0.6831,292,816,256
esm256,chain,test_B,score,0.1822,0.1763,0.1072,38.0,10987.0,0.0695,0.6831,292,816,256
esm256,chain,test_B,rel_sasa_assembly,0.1461,0.1539,0.1325,38.0,10987.0,0.0695,0.6831,292,816,256
esm256,chain,test_B,protrusion,0.0947,0.0408,-0.0045,38.0,10987.0,0.0695,0.6831,292,816,256
esm256,union,test_B,score,0.2156,0.2066,0.0549,38.0,10987.0,0.1001,0.6831,292,816,256
esm256,union,test_B,rel_sasa_assembly,0.1826,0.1987,0.162,38.0,10987.0,0.1001,0.6831,292,816,256
esm256,union,test_B,protrusion,0.1224,0.0447,-0.0292,38.0,10987.0,0.1001,0.6831,292,816,256
esm,chain,val,score,0.433,0.2936,0.3118,109.0,33990.0,0.0529,0.9009,164,962,128
esm,chain,val,rel_sasa_assembly,0.1157,0.1119,0.1299,109.0,33990.0,0.0529,0.9009,164,962,128
esm,chain,val,protrusion,0.0757,0.0266,-0.0168,109.0,33990.0,0.0529,0.9009,164,962,128
esm,union,val,score,0.4993,0.4275,0.3086,109.0,33990.0,0.1019,0.9009,164,962,128
esm,union,val,rel_sasa_assembly,0.1716,0.1743,0.1696,109.0,33990.0,0.1019,0.9009,164,962,128
esm,union,val,protrusion,0.1129,0.0284,0.0518,109.0,33990.0,0.1019,0.9009,164,962,128
esm,chain,test_group2,score,0.384,0.3143,0.1859,234.0,68297.0,0.0516,0.9009,164,962,128
esm,chain,test_group2,rel_sasa_assembly,0.1315,0.109,0.12,234.0,68297.0,0.0516,0.9009,164,962,128
esm,chain,test_group2,protrusion,0.0938,0.035,-0.0116,234.0,68297.0,0.0516,0.9009,164,962,128
esm,union,test_group2,score,0.3955,0.3468,0.37,234.0,68297.0,0.06,0.9009,164,962,128
esm,union,test_group2,rel_sasa_assembly,0.1459,0.1256,0.1276,234.0,68297.0,0.06,0.9009,164,962,128
esm,union,test_group2,protrusion,0.1075,0.0421,-0.0041,234.0,68297.0,0.06,0.9009,164,962,128
esm,chain,test_B,score,0.1711,0.1408,0.1175,38.0,10987.0,0.0695,0.9009,164,962,128
esm,chain,test_B,rel_sasa_assembly,0.1461,0.1539,0.1325,38.0,10987.0,0.0695,0.9009,164,962,128
esm,chain,test_B,protrusion,0.0947,0.0408,-0.0045,38.0,10987.0,0.0695,0.9009,164,962,128
esm,union,test_B,score,0.2,0.1579,0.0456,38.0,10987.0,0.1001,0.9009,164,962,128
esm,union,test_B,rel_sasa_assembly,0.1826,0.1987,0.162,38.0,10987.0,0.1001,0.9009,164,962,128
esm,union,test_B,protrusion,0.1224,0.0447,-0.0292,38.0,10987.0,0.1001,0.9009,164,962,128
structural,chain,val,score,0.3885,0.2771,0.2912,109.0,33990.0,0.0529,0.8669,36,411,0
structural,chain,val,rel_sasa_assembly,0.1157,0.1119,0.1299,109.0,33990.0,0.0529,0.8669,36,411,0
